-- Testing: 210 tests, 12 workers --
  LLVM :: tools/llvm-objcopy/ELF/dynstr.test
  LLVM :: tools/llvm-objcopy/ELF/dynsym-error-remove-strtab.test
  LLVM :: tools/llvm-objcopy/ELF/elf32be.test
  LLVM :: tools/llvm-objcopy/ELF/elf32le.test
  LLVM :: tools/llvm-objcopy/ELF/elf64be.test
  LLVM :: tools/llvm-objcopy/ELF/empty-section.test
  LLVM :: tools/llvm-objcopy/ELF/error-format.test
  LLVM :: tools/llvm-objcopy/ELF/explicit-keep-remove.test
  LLVM :: tools/llvm-objcopy/ELF/explicit-only-section-remove.test
  LLVM :: tools/llvm-objcopy/ELF/fail-no-output-directory.test
  LLVM :: tools/llvm-objcopy/ELF/globalize.test
  LLVM :: tools/llvm-objcopy/ELF/group-addr-misaligned.test
  LLVM :: tools/llvm-objcopy/ELF/group-big-endian.test
  LLVM :: tools/llvm-objcopy/ELF/group-reorder.test
  LLVM :: tools/llvm-objcopy/ELF/group-unchanged.test
  LLVM :: tools/llvm-objcopy/ELF/group.test
  LLVM :: tools/llvm-objcopy/ELF/hexagon-unsupported-on-x86.test
  LLVM :: tools/llvm-objcopy/ELF/identical-segments.test
  LLVM :: tools/llvm-objcopy/ELF/ihex-reader.test
  LLVM :: tools/llvm-objcopy/ELF/ihex-writer.test
  LLVM :: tools/llvm-objcopy/ELF/input-output-target.test
  LLVM :: tools/llvm-objcopy/ELF/invalid-e_phoff.test
  LLVM :: tools/llvm-objcopy/ELF/invalid-e_shoff.test
  LLVM :: tools/llvm-objcopy/ELF/invalid-p_filesz-p_offset.test
  LLVM :: tools/llvm-objcopy/ELF/invalid-preserve-dates.test
  LLVM :: tools/llvm-objcopy/ELF/keep-file-symbols.test
  LLVM :: tools/llvm-objcopy/ELF/keep-global-symbols-mix-globalize.test
  LLVM :: tools/llvm-objcopy/ELF/keep-global-symbols.test
  LLVM :: tools/llvm-objcopy/ELF/keep-many.test
  LLVM :: tools/llvm-objcopy/ELF/keep-only-section.test
  LLVM :: tools/llvm-objcopy/ELF/keep-symbol-remove-section.test
  LLVM :: tools/llvm-objcopy/ELF/keep-symbol.test
  LLVM :: tools/llvm-objcopy/ELF/linked-section.test
  LLVM :: tools/llvm-objcopy/ELF/localize-hidden.test
  LLVM :: tools/llvm-objcopy/ELF/localize.test
  LLVM :: tools/llvm-objcopy/ELF/many-sections.test
  LLVM :: tools/llvm-objcopy/ELF/marker-segment.test
  LLVM :: tools/llvm-objcopy/ELF/mirror-permissions-unix.test
  LLVM :: tools/llvm-objcopy/ELF/new-symbol-visibility.test
  LLVM :: tools/llvm-objcopy/ELF/no-build-id-no-notes.test
  LLVM :: tools/llvm-objcopy/ELF/no-build-id.test
  LLVM :: tools/llvm-objcopy/ELF/no-strip-all.test
  LLVM :: tools/llvm-objcopy/ELF/no-symbol-relocation.test
  LLVM :: tools/llvm-objcopy/ELF/only-keep-debug.test
  LLVM :: tools/llvm-objcopy/ELF/only-section-many.test
  LLVM :: tools/llvm-objcopy/ELF/only-section-remove-strtab.test
  LLVM :: tools/llvm-objcopy/ELF/only-section-strip-non-alloc.test
  LLVM :: tools/llvm-objcopy/ELF/only-section-strip-undefined.test
  LLVM :: tools/llvm-objcopy/ELF/overlap-chain.test
  LLVM :: tools/llvm-objcopy/ELF/overlapping-sections-in-segments.test
  LLVM :: tools/llvm-objcopy/ELF/overlapping-sections.test
